id,user,created_at,text
1048667449124691969,Stephen Blevins,Sat Oct 06 20:12:57 +0000 2018,😂 Some halfwits in this world. Hope you got home in time to see the winner. #MUFC https://t.co/SESLXv92Am
1048667424768360448,Amit Mavar,Sat Oct 06 20:12:52 +0000 2018,Manchester United Win - the media are gutted and ScouseSports... I mean Skysports are vexed and looking for every n… https://t.co/8C7jNhs0nm
1048667416765579265,Adrian Willis,Sat Oct 06 20:12:50 +0000 2018,"My thoughts on the game 

https://t.co/wMIO6YLXho 

#MUFC"
1048667403058630658,Andy Fleet,Sat Oct 06 20:12:46 +0000 2018,@MichaelDiPaola It was brilliant mate. Alf trying to get 'United are the greatest' going in the family stand at 2-2… https://t.co/D3nubC87os
1048667400441348096,Megan Orpych,Sat Oct 06 20:12:46 +0000 2018,"I know, it was one match and against ""poor"" Newcastle, but damn mee... I fell in love with this club due to this cr… https://t.co/PCRf4miHwD"
1048667370661838848,bettingexpert,Sat Oct 06 20:12:39 +0000 2018,"Manchester United fight back from two goals down to beat Newcastle United 3-2, Alexis Sanchez scoring an injury tim… https://t.co/fvW0xngTW5"
1048667356271181825,Oron Culzac,Sat Oct 06 20:12:35 +0000 2018,"I swear, if there was  a puskas for taking it on the chest and bringing it down, who else can beat Lord Fellaini every year? #mufc #munnew"
1048667348553650182,Akhilesh Gannavarapu,Sat Oct 06 20:12:33 +0000 2018,Jose Mourinho's Red Army @ManUtd #MUFC #MUNNEW
1048667331646242816,Akshata Shukla,Sat Oct 06 20:12:29 +0000 2018,"Manchester United has had many difficult days in the season but these brands have stood by its side. 
#MUFC #MUNNEW https://t.co/oiEBxsw3ig"
1048667312470065152,Romam@mufc,Sat Oct 06 20:12:25 +0000 2018,"Can we all just remember that player that came on at half time please #mufc yes, Fellaini."
1048667307508191232,Karen Griffiths,Sat Oct 06 20:12:24 +0000 2018,@OmoladeBadmus21 @sheshe_tom @DodgeLRC @Jamie_A_MUFC @adwaitmufcfreak @simongillen @Etosy21 @stanparsons1… https://t.co/7o6W0AjleE
1048667247559016448,RED ARMY,Sat Oct 06 20:12:09 +0000 2018,"It might of only been a shite @NUFC team,but that comeback felt fooking great #MUFCvNUFC #mufc"
1048667217146068997,😈,Sat Oct 06 20:12:02 +0000 2018,JUAN MATA was today's SILENT HERO. He might be slow. He might not be strong with the defensive duties that is expec… https://t.co/Qqe3K2hhr0
1048667207863955458,Man United News,Sat Oct 06 20:12:00 +0000 2018,"The reports emerged last night #mufc 
https://t.co/4KzB5ghOZD"
1048667149525569538,Kris Cannon,Sat Oct 06 20:11:46 +0000 2018,Absolute mess during the last half hour of that when we started to show some desire 🤣 GET THE FUCK IN LADS!! Jose b… https://t.co/N61KuXbmTx
1048667109314637824,Tamim_Khan,Sat Oct 06 20:11:36 +0000 2018,"It is one of my work. Do you like it?
I am a #designer and create #infographics , #vector #Traces , #illustration,… https://t.co/Cx2lNvuKNR"
1048667096589197312,The United Stand,Sat Oct 06 20:11:33 +0000 2018,"""Papering the Cracks!"" Paul is Furious https://t.co/6f6CMQH7VK

#MUFC https://t.co/D7xBqH7P8Y"
1048667065207455746,Andy Prenty,Sat Oct 06 20:11:26 +0000 2018,@sous83 can the players be anymore obvious???  I'm done with @ManUtd and I'm done with football. you've turned my c… https://t.co/5Rjmi7c7NF
1048667061256409090,Adam🇮🇪,Sat Oct 06 20:11:25 +0000 2018,I'm delighted for Sanchez. Hopefully that gives him the confidence to push on this season. #MUFC
1048667055736672256,AH 🔰,Sat Oct 06 20:11:24 +0000 2018,Just realized I can actually watch MOTD tomorrow morning. #MUFC https://t.co/uTBqMyQwCh
1048666997746094081,Milan,Sat Oct 06 20:11:10 +0000 2018,PAUL POGBA IS THE REASON MAN UTD WON TODAY #Mufc #Pogba
1048666989462528000,Hasan Abu Sumayyah,Sat Oct 06 20:11:08 +0000 2018,"The funny thing is everybody criticises him when we lose because it’s always the managers fault, so where is the pr… https://t.co/raK0V32TTq"
1048666969623465984,James,Sat Oct 06 20:11:03 +0000 2018,Yes it is only Newcastle.. Yes we were awful for about 50 minutes but I'll take any win and who knows how significant it will be! 🔴 #MUFC
1048666965420781569,Dr Richard Parfitt,Sat Oct 06 20:11:02 +0000 2018,"There is some nonsense spoken about Jose Mourinho at times. Yes of course he falls out with players, but not everyo… https://t.co/kwbnmmWiUO"
1048666925792972801,Sarfraz Bismilla,Sat Oct 06 20:10:53 +0000 2018,The quality balls that @RomeluLukaku9 put into the box from the right side today were fantastic. The kind of service that he needs!!! #MUFC
1048666925130108928,RisyandiPutra,Sat Oct 06 20:10:52 +0000 2018,"Epic comeback is real 
#GGMU #MUFC"
1048666884730753024,Iain Stephens,Sat Oct 06 20:10:43 +0000 2018,"My mate, @bholloway7 just showed me Woodward’s face at full time. If anything ever showed that he does not care wha… https://t.co/m0p3uCDVLs"
1048666873867460608,Oron Culzac,Sat Oct 06 20:10:40 +0000 2018,fitting. #mufc https://t.co/p0IVvk7GbA
1048666847535661057,Yats SO.,Sat Oct 06 20:10:34 +0000 2018,I can’t believe #MUFC fans who think we don’t have a squad. We have a squad. Just need a leader.
1048666830473220097,Sergio Mendez,Sat Oct 06 20:10:30 +0000 2018,Nothing has changed this will be Mourinho's last season at Old Trafford. #mufc #MUNNEW #pogba
1048666798311264256,Yusuf mustafa,Sat Oct 06 20:10:22 +0000 2018,Form is temporary. Class is permanent. ♥️ #MUFC #GGMU https://t.co/50G19mEMHO https://t.co/ytGHJB4ITX
1048666756682866688,Mr M,Sat Oct 06 20:10:12 +0000 2018,"Nothing on earth like being a red.

Mention to all around me in United Road. You were fucking mega today.

Great jo… https://t.co/e9xtlZ2Eui"
1048666739813355525,Macgruber 2.0,Sat Oct 06 20:10:08 +0000 2018,"the league at Old Trafford, and today against Newcastle! Don’t have count Manchester United out! I love this team! #MUFC 🦁 🔴"
1048666738366337025,Planet Red,Sat Oct 06 20:10:08 +0000 2018,Tweeted this Tuesday night and the 1st half was similar. However that performance 2nd half was game changing right… https://t.co/Tujih3HcmK
1048666736101400579,TheKingg,Sat Oct 06 20:10:07 +0000 2018,#MUFC is a phenomenal coach-he just needs to keep his mouth shut!(Mourinho with the mouth shut is among the best co… https://t.co/H1gbQdfh2q
1048666729671536642,Rupert Clark,Sat Oct 06 20:10:06 +0000 2018,@bloom200 @kngriffiths4 @QueenSandy_CFC @KellyFosters @AnnetteH0526 @FarlinaLCarroll @1965Wendy @lola_united… https://t.co/y3bPHP1DKh
1048666707114512386,Danny B,Sat Oct 06 20:10:00 +0000 2018,Some #mufc fans leaving the game at 2-2 🤣🤣 don't bother coming back
1048666701569515520,D_ManUtd,Sat Oct 06 20:09:59 +0000 2018,"Alexis Sanchez goal reminded me of Wayne Rooney! 

The hold up, the turn, shifting the ball to the side and getting… https://t.co/wEc5n3oHt4"
1048666652999655424,Eamonn Magee,Sat Oct 06 20:09:48 +0000 2018,"This team under Fergie, with 8 defenders starting beat Arsenal 2-0.. #NeverForget #Mufc https://t.co/LYdEciQtpa"
1048666633810714624,Robert Whittaker,Sat Oct 06 20:09:43 +0000 2018,"United fans were class second half even 0-2 down, players turned it around. #mufc"
1048666626692960256,ahavaah💜,Sat Oct 06 20:09:41 +0000 2018,Comeback Kings #mufc #MUNNEW
1048666626516836352,🔴,Sat Oct 06 20:09:41 +0000 2018,"Alexis Sanchez's 90th minute winner vs Newcastle is even better with Titanic music! @Alexis_Sanchez #MUFC #MUNNEW 
https://t.co/aFhQam6yFQ"
1048666588692566017,Thèo Lyon,Sat Oct 06 20:09:32 +0000 2018,"The way I screamed when the third goal
Came I don’t think I have ever screamed that way all my life . My phone fell… https://t.co/VbtghMS9hB"
1048666553191940096,Ahsan,Sat Oct 06 20:09:24 +0000 2018,"We are Manchester United.. We never give up 🔴🔴

#MUFC  #MUNNEW https://t.co/lNP2sQQeGe"
1048666546695016448,JUSTINE SIRE,Sat Oct 06 20:09:22 +0000 2018,"@IsaacKaledzi Yeah this is how to talk, say something that favors the players and makes them feel good, that is all… https://t.co/JFzLSO8ECy"
1048666534011437056,Stuart Graham,Sat Oct 06 20:09:19 +0000 2018,Significant part of #mufc problems is the at times statuesque movement from #lukaku. In the past he’s been accused… https://t.co/ySznPNjvrv
1048666528747409408,My Holiday,Sat Oct 06 20:09:18 +0000 2018,"@BBCSport Mou is the best, just give him a thing which didn't Chelsea give when he returned to the club at the seco… https://t.co/1RoKsCnqhN"
1048666526025506816,George Watts,Sat Oct 06 20:09:17 +0000 2018,Huge huge 3 points! I know it’s only Newcastle but 2nd half was impressive.. Less said about the first the better 🙈… https://t.co/5hJGu2SHzZ
1048666519058763776,Craig Cooper,Sat Oct 06 20:09:16 +0000 2018,Some weird cunts on here are absolutely gutted we turned that around. #MUFC
1048666514386309121,Son_Of_Oitomen,Sat Oct 06 20:09:14 +0000 2018,"Mourinho : ""Go save my job"".. Sanchez : Don't sweat it boss, 2 seconds everywhere go burst.. 😂#chee #MUNNEW #MUFC… https://t.co/Xcm7vAAWMY"
1048666496170307584,Devam 🇾🇪,Sat Oct 06 20:09:10 +0000 2018,"Send this defeatist back to JP Morgan. 
Retweet if you agree #MUFC #WoodwardOut https://t.co/POKLJ900CG"
1048666472745189376,GeorgeCD,Sat Oct 06 20:09:05 +0000 2018,"Lastly, i’ll finish by saying that I apologise for ever talking foul of @juanmata8 , you are a brilliant footballer… https://t.co/MRTvrxJrVr"
1048666469469507585,UK Casinos Casino8,Sat Oct 06 20:09:04 +0000 2018,Get £30 when u Bet £10 on #MUFC or #MCFC this weekend https://t.co/VLkPAd2DCH https://t.co/9zeOrDkPHA
1048666457859661825,Linda ❤🔴⚪⚫❤,Sat Oct 06 20:09:01 +0000 2018,"The fans sing, the team plays - simples. Great atmosphere at Old Trafford tonight #mufc"
1048666433864065025,RedArmy,Sat Oct 06 20:08:55 +0000 2018,Maybe we should let our opponents score two goals in the beginning for every game.. #mufc
1048666421067112448,johnn mark waiwai,Sat Oct 06 20:08:52 +0000 2018,Pogba man handled Newcastle. He is a true leader. Overall am pleased with the speed and the spirit of attacking football. #MUFC
1048666408085872640,#FPL United,Sat Oct 06 20:08:49 +0000 2018,"That was some comeback, albeit against Newcastle. Atmosphere was unreal. #MUFC https://t.co/7rL6SaV8R9"
1048666382689288196,🇬🇭 💲💵DaakyeBillionaire ✈,Sat Oct 06 20:08:43 +0000 2018,"@SquawkaNews Very True. Very funny statements he made, this wud be the same man who wud come after his players tomo… https://t.co/oqNnx2jLnj"
1048666376053960704,Drew Kendall,Sat Oct 06 20:08:41 +0000 2018,"About time he said it, as I've known it for a while. Fair to say the media are very much anti-United. Were they sca… https://t.co/WYwtxqcSqf"
1048666360799272960,John,Sat Oct 06 20:08:38 +0000 2018,Always Red #Mufc https://t.co/AVPQaFEiQp
1048666357213089794,RUD,Sat Oct 06 20:08:37 +0000 2018,"Some European Clubs have been *under* spells lately.

Some have been broken #MUFC &amp; #Barcelona 
Some still pending… https://t.co/2sGxCZJJaq"
1048666343690698752,Laurent Vieliza,Sat Oct 06 20:08:34 +0000 2018,"Do forget that Real Madrid and Bayern Munich also lost today, and @ManUtd pulled out a brilliant comeback against Newcastle.
#MUNNEW #MUFC"
1048666330919063553,Venant,Sat Oct 06 20:08:31 +0000 2018,Just imagine if this was #mufc https://t.co/tNiJ3vsjZ0
1048666281983918080,lｏｎelｙ　ｇｏd　Ｍr．Ｋ,Sat Oct 06 20:08:19 +0000 2018,"But hey, I guess the boys in Red did display some of that oft-quoted PASSHUN that had been lacking in recent weeks… https://t.co/JB3zZSSVvX"
1048666263172657152,seamus mc clafferty,Sat Oct 06 20:08:15 +0000 2018,Play for them who gave everything before you #mufc https://t.co/U0TyZGKfxT
1048666250526838785,mandy,Sat Oct 06 20:08:12 +0000 2018,When your at work and think United lost 2-0 then go on break and check the score 👀 #mufc
1048666229786005504,Woodinho Out 🇱🇨,Sat Oct 06 20:08:07 +0000 2018,No-one will believe me but I still thought we'd win when we were 2-0 down at half time #MUFC
1048666217370853376,Roy,Sat Oct 06 20:08:04 +0000 2018,It’s interesting that Real Madrid are in a torrid spot of results similar to United and the media frenzy is incompa… https://t.co/KLLToru8Q0
1048666215634415616,Darren,Sat Oct 06 20:08:03 +0000 2018,We all knew what would happen when we actually decided to play attacking footy. The second half felt wreckless but… https://t.co/HZMAlUgu20
1048666204678832128,Gordon Crawford,Sat Oct 06 20:08:01 +0000 2018,Fantastic comeback. First bit of passion we’ve seen for some time #MUFC
1048666199511523329,Rodney Cyrus,Sat Oct 06 20:07:59 +0000 2018,"@MattBufton1 Listen, I am sitting in the Wagamama in St Peter's square right now waiting for my food. Great result… https://t.co/p9AH11RX1c"
1048666191064129537,Ryan Mc Callion,Sat Oct 06 20:07:57 +0000 2018,"when you start the U.N.I.T.E.D song in the stretford end and 20,000 people join in 😎😎 unreal feeling! place was rocking!! #MUFC #united"
1048666170986045441,Julia,Sat Oct 06 20:07:53 +0000 2018,These last 2 minutes of these highlights of the game almost made me cry from happiness! I'd kiss each and every pla… https://t.co/wDJNvOjHw6
1048666139163807744,Gaurav Shanker,Sat Oct 06 20:07:45 +0000 2018,"Interesting results in football tonight!
#ForzaJuventus 2-0
#ManU came strong from behind n made 3-2
#HalaMadrid mi… https://t.co/Kq3vnIxfdt"
1048666133681909762,Daniaal Hussain,Sat Oct 06 20:07:44 +0000 2018,"Pogba, Mata, Martial and Shaw were all excellent🔥🔥 #mufc"
1048666050831835138,Nick Allan,Sat Oct 06 20:07:24 +0000 2018,"Feel sorry for McTominay, shouldn't have been put at centre back today or last week. That said, I don't think he sh… https://t.co/zdTuZGvM1K"
1048666024495763460,🇾🇪chaz🏴󠁧󠁢󠁥󠁮󠁧󠁿,Sat Oct 06 20:07:18 +0000 2018,🇾🇪🔴⚪⚫🤘 change of seat for today #utdroad #MUFC https://t.co/z3Fd6P8x49
1048666003993972736,Africa Ukoh,Sat Oct 06 20:07:13 +0000 2018,We need to sort out our share and positioning. Today showed what the players can do if we sort out a game structure… https://t.co/b5FVatZhEx
1048665989544595456,James,Sat Oct 06 20:07:09 +0000 2018,The atmosphere in the ground for the last 15 minutes is a reminder of how good it will be when we get it right.. 🔴 #MUFC
1048665988621844480,United Spirit #MUFC #Science,Sat Oct 06 20:07:09 +0000 2018,#nufc might be garbage but they gave us a good show in the first half. Imo they're going down 110% but think we mad… https://t.co/9U5hk0HxwD
1048665957076545536,khuliso mufamadi,Sat Oct 06 20:07:02 +0000 2018,What a come back by @ManUtd three points in the bag #mufc
1048665930593685506,Tim Astley,Sat Oct 06 20:06:55 +0000 2018,"People really shouldn’t comment until after the final whistle! 🙈😂 quality comeback by the lads, shows the fight is… https://t.co/PSgRUlvXOO"
1048665926881693696,Jamie Dewsbury,Sat Oct 06 20:06:54 +0000 2018,"#Mourinho throwing McTominay to the Wolves now , you decided to start him a 3 man midfield (2 of them defensive) an… https://t.co/JlWvlIOmUX"
1048665921240387585,Jarl Trengereid,Sat Oct 06 20:06:53 +0000 2018,@btsportfootball @DesKellyBTS Still think #Mourinho needs to go #mufc
1048665919742988289,Billy,Sat Oct 06 20:06:53 +0000 2018,#MUFC ...... which one is the comedian? ? https://t.co/JsdIjsdmdj
1048665911585071105,Phani Mukkavilli,Sat Oct 06 20:06:51 +0000 2018,"45 mins of man utd football, game is over, just like that. Imagine what we can do in 90 mins week in week out. Well… https://t.co/xRd9yCdKYb"
1048665899786547201,Ryan C Leahy,Sat Oct 06 20:06:48 +0000 2018,@Boggerz23 Has he upset you? Chill enjoy your downtime #mufc #JoseMustStay #josein
1048665885764980736,BOSS,Sat Oct 06 20:06:45 +0000 2018,It was really good to see our new manager come out at half time and lead the boys to a 3-2 comeback #mufc
1048665825094328320,Big Attitude 🇳🇬 Kindly follow back,Sat Oct 06 20:06:30 +0000 2018,The fans love Anthony Martial. #mufc
1048665762729218057,Sunderland Nil,Sat Oct 06 20:06:15 +0000 2018,Get a grip all you celebrating #MUFC fans and explayers. You were very lucky to beat a poor #NUFC who can’t defend.… https://t.co/9lDp7vPOSb
1048665757016576001,WeAreMUFC,Sat Oct 06 20:06:14 +0000 2018,"This is Dave. Dave left early this evening from the #MUFC game. Dave missed @ManUtd come back to win 3-2.

Don’t be… https://t.co/gYb0hZTSFf"
1048665724582092800,Manchester United,Sat Oct 06 20:06:06 +0000 2018,"Paul Pogba vs. Newcastle:

111 touches
90% pass accuracy
87 passes
6 shots
4 clearances
3 shots on target
3 aerial… https://t.co/7OCJsh6EED"
1048665705502191618,Gerard Collins,Sat Oct 06 20:06:02 +0000 2018,"Absolutely delighted for Jose and, especially Alexis with that today. It just goes to show what happens when the pl… https://t.co/vxVbCco3OU"
1048665697231020034,Niall Treacy,Sat Oct 06 20:06:00 +0000 2018,French Connection ❤️ @AnthonyMartial @paulpogba #MUFC https://t.co/EXlF54E61Z
1048665680533307392,Hanish Satija,Sat Oct 06 20:05:56 +0000 2018,"Don't be like Dave. 
#MUNNEW #MUFC https://t.co/v3vY549WzP"
1048665671389925377,Simon Jordan,Sat Oct 06 20:05:53 +0000 2018,I think #mufc win was as much about #nufc retreating in the second half as it was about united being better. Pogba… https://t.co/Prj6YlcFde
1048665658341384192,Birgit 🌻,Sat Oct 06 20:05:50 +0000 2018,"Happy for all United fans.
😊❤ #MUFC https://t.co/K5oRgxZTbn"
1048665645615861760,Nina Lamparski,Sat Oct 06 20:05:47 +0000 2018,"This from Guardian reader: #Mourinho's ""post-match interview was a festival of narcissism, even for him: 'taking th… https://t.co/cDuc2jo5sk"
1048665642377859075,Victor Babawarun,Sat Oct 06 20:05:47 +0000 2018,"@SkySportsStatto @ManUtd I think @ManUtd just unlocked the working formation:
Mata is not a winger, he should play… https://t.co/TJzNoiJLsf"
1048665609733636096,Dave,Sat Oct 06 20:05:39 +0000 2018,Didn’t see that comeback coming! Last 20 was brilliant and the atmosphere was decent even at 0-2. Bloke sat next to… https://t.co/9SrFIU3c4T
1048665587264643072,Sadeeq 🇱🇰,Sat Oct 06 20:05:33 +0000 2018,#MUFC impressive
1048665582646771713,Will  🐝,Sat Oct 06 20:05:32 +0000 2018,"Yes #nufc should of had a pen but so should #mufc, a lot of nufc fans conveniently ignoring ours, the Newcastle pla… https://t.co/wtr1oAXZa8"
1048665558714073088,paul dunne,Sat Oct 06 20:05:27 +0000 2018,@rioferdy5 bitter or what !!#mufc
