tweet,sentiment ,sentiment_score
😂 Some halfwits in this world. Hope you got home in time to see the winner. #MUFC ,neutral,0.0
Manchester United Win - the media are gutted and ScouseSports... I mean Skysports are vexed and looking for every n… ,positive,0.24375000000000002
"My thoughts on the game 

 

#MUFC",negative,-0.4
@MichaelDiPaola It was brilliant mate. Alf trying to get 'United are the greatest' going in the family stand at 2-2… ,positive,0.95
"I know, it was one match and against ""poor"" Newcastle, but damn mee... I fell in love with this club due to this cr… ",neutral,-0.00833333333333334
"Manchester United fight back from two goals down to beat Newcastle United 3-2, Alexis Sanchez scoring an injury tim… ",neutral,-0.07777777777777779
"I swear, if there was  a puskas for taking it on the chest and bringing it down, who else can beat Lord Fellaini every year? #mufc #munnew",neutral,-0.15555555555555559
Jose Mourinho's Red Army @ManUtd #MUFC #MUNNEW,neutral,0.0
"Manchester United has had many difficult days in the season but these brands have stood by its side. 
#MUFC #MUNNEW ",neutral,0.0
"Can we all just remember that player that came on at half time please #mufc yes, Fellaini.",neutral,-0.16666666666666666
@OmoladeBadmus21 @sheshe_tom @DodgeLRC @Jamie_A_MUFC @adwaitmufcfreak @simongillen @Etosy21 @stanparsons1… ,neutral,0.0
"It might of only been a shite @NUFC team,but that comeback felt fooking great #MUFCvNUFC #mufc",positive,0.4
JUAN MATA was today's SILENT HERO. He might be slow. He might not be strong with the defensive duties that is expec… ,neutral,0.04444444444444442
"The reports emerged last night #mufc 
",neutral,0.0
Absolute mess during the last half hour of that when we started to show some desire 🤣 GET THE FUCK IN LADS!! Jose b… ,neutral,-0.15333333333333332
"It is one of my work. Do you like it?
I am a #designer and create #infographics , #vector #Traces , #illustration,… ",neutral,0.0
"""Papering the Cracks!"" Paul is Furious 

#MUFC ",neutral,0.0
@sous83 can the players be anymore obvious???  I'm done with @ManUtd and I'm done with football. you've turned my c… ,neutral,0.0
I'm delighted for Sanchez. Hopefully that gives him the confidence to push on this season. #MUFC,positive,0.7
Just realized I can actually watch MOTD tomorrow morning. #MUFC ,neutral,0.0
PAUL POGBA IS THE REASON MAN UTD WON TODAY #Mufc #Pogba,neutral,0.0
"The funny thing is everybody criticises him when we lose because it’s always the managers fault, so where is the pr… ",positive,0.25
Yes it is only Newcastle.. Yes we were awful for about 50 minutes but I'll take any win and who knows how significant it will be! 🔴 #MUFC,neutral,0.06718750000000001
"There is some nonsense spoken about Jose Mourinho at times. Yes of course he falls out with players, but not everyo… ",neutral,0.0
The quality balls that @RomeluLukaku9 put into the box from the right side today were fantastic. The kind of service that he needs!!! #MUFC,positive,0.5619047619047619
"Epic comeback is real 
#GGMU #MUFC",neutral,0.15000000000000002
"My mate, @bholloway7 just showed me Woodward’s face at full time. If anything ever showed that he does not care wha… ",positive,0.35
fitting. #mufc ,positive,0.5
I can’t believe #MUFC fans who think we don’t have a squad. We have a squad. Just need a leader.,neutral,0.0
Nothing has changed this will be Mourinho's last season at Old Trafford. #mufc #MUNNEW #pogba,neutral,0.05
Form is temporary. Class is permanent. ♥️ #MUFC #GGMU  ,neutral,0.0
"Nothing on earth like being a red.

Mention to all around me in United Road. You were fucking mega today.

Great jo… ",neutral,0.0666666666666667
"the league at Old Trafford, and today against Newcastle! Don’t have count Manchester United out! I love this team! #MUFC 🦁 🔴",positive,0.390625
Tweeted this Tuesday night and the 1st half was similar. However that performance 2nd half was game changing right… ,neutral,-0.14666666666666667
#MUFC is a phenomenal coach-he just needs to keep his mouth shut!(Mourinho with the mouth shut is among the best co… ,positive,0.75
@bloom200 @kngriffiths4 @QueenSandy_CFC @KellyFosters @AnnetteH0526 @FarlinaLCarroll @1965Wendy @laugh out louda_united… ,positive,0.3
Some #mufc fans leaving the game at 2-2 🤣🤣 don't bother coming back,neutral,-0.2
"Alexis Sanchez goal reminded me of Wayne Rooney! 

The hold up, the turn, shifting the ball to the side and getting… ",neutral,0.0
"This team under Fergie, with 8 defenders starting beat Arsenal 2-0.. #NeverForget #Mufc ",neutral,0.0
"United fans were class second half even 0-2 down, players turned it around. #mufc",neutral,-0.10740740740740741
Comeback Kings #mufc #MUNNEW,neutral,0.0
"Alexis Sanchez's 90th minute winner vs Newcastle is even better with Titanic music! @Alexis_Sanchez #MUFC #MUNNEW 
",positive,0.625
"The way I screamed when the third goal
Came I don’t think I have ever screamed that way all my life . My phone fell… ",neutral,0.0
"We are Manchester United.. We never give up 🔴🔴

#MUFC  #MUNNEW ",neutral,0.0
"@IsaacKaledzi Yeah this is how to talk, say something that favors the players and makes them feel good, that is all… ",positive,0.7
Significant part of #mufc problems is the at times statuesque movement from #lukaku. In the past he’s been accused… ,neutral,0.0625
"@BBCSport Mou is the best, just give him a thing which didn't Chelsea give when he returned to the club at the seco… ",positive,1.0
Huge huge 3 points! I know it’s only Newcastle but 2nd half was impressive.. Less said about the first the better 🙈… ,positive,0.25740740740740736
Some weird cunts on here are absolutely gutted we turned that around. #MUFC,neutral,-0.15
"Mourinho : ""Go save my job"".. Sanchez : Don't sweat it boss, 2 seconds everywhere go burst.. 😂#chee #MUNNEW #MUFC… ",neutral,0.0
"Send this defeatist back to JP Morgan. 
Retweet if you agree #MUFC #WoodwardOut ",neutral,0.0
"Lastly, i’ll finish by saying that I apologise for ever talking foul of @juanmata8 , you are a brilliant footballer… ",positive,0.45
Get £30 when you Bet £10 on #MUFC or #MCFC this weekend  ,neutral,0.0
"The fans sing, the team plays - simples. Great atmosphere at Old Trafford tonight #mufc",positive,0.45
Maybe we should let our opponents score two goals in the beginning for every game.. #mufc,negative,-0.4
Pogba man handled Newcastle. He is a true leader. Overall am pleased with the speed and the spirit of attacking football. #MUFC,positive,0.2833333333333333
"That was some comeback, albeit against Newcastle. Atmosphere was unreal. #MUFC ",neutral,0.0
"@SquawkaNews Very True. Very funny statements he made, this wud be the same man who wud come after his players tomo… ",positive,0.26
"About time he said it, as I've known it for a while. Fair to say the media are very much anti-United. Were they sca… ",positive,0.48
Always Red #Mufc ,neutral,0.0
"Some European Clubs have been *under* spells lately.

Some have been broken #MUFC &amp; #Barcelona 
Some still pending… ",negative,-0.2333333333333333
"Do forget that Real Madrid and Bayern Munich also lost today, and @ManUtd pulled out a brilliant comeback against Newcastle.
#MUNNEW #MUFC",positive,0.55
Just imagine if this was #mufc ,neutral,0.0
"But hey, I guess the boys in Red did display some of that oft-quoted PASSHUN that had been lacking in recent weeks… ",neutral,0.0
Play for them who gave everything before you #mufc ,neutral,0.0
When your at work and think United lost 2-0 then go on break and check the score 👀 #mufc,neutral,0.0
No-one will believe me but I still thought we'd win when we were 2-0 down at half time #MUFC,neutral,0.1592592592592593
It’s interesting that Real Madrid are in a torrid spot of results similar to United and the media frenzy is incompa… ,positive,0.2333333333333333
We all knew what would happen when we actually decided to play attacking footy. The second half felt wreckless but… ,neutral,-0.05555555555555555
Fantastic comeback. First bit of passion we’ve seen for some time #MUFC,positive,0.325
"@MattBufton1 Listen, I am sitting in the Wagamama in St Peter's square right now waiting for my food. Great result… ",positive,0.5428571428571429
"when you start the U.N.I.T.E.D song in the stretford end and 20,000 people join in 😎😎 unreal feeling! place was rocking!! #MUFC #united",neutral,0.0
These last 2 minutes of these highlights of the game almost made me cry from happiness! I'd kiss each and every pla… ,neutral,0.15833333333333333
"Interesting results in football tonight!
#ForzaJuventus 2-0
#ManU came strong from behind n made 3-2
#HalaMadrid mi… ",positive,0.21944444444444444
"Pogba, Mata, Martial and Shaw were all excellent🔥🔥 #mufc",neutral,0.0
"Feel sorry for McTominay, shouldn't have been put at centre back today or last week. That said, I don't think he sh… ",neutral,-0.16666666666666666
🇾🇪🔴⚪⚫🤘 change of seat for today #utdroad #MUFC ,neutral,0.0
We need to sort out our share and positioning. Today showed what the players can do if we sort out a game structure… ,negative,-0.4
The atmosphere in the ground for the last 15 minutes is a reminder of how good it will be when we get it right.. 🔴 #MUFC,positive,0.32857142857142857
#nufc might be garbage but they gave us a good show in the first half. Imo they're going down 110% but think we mad… ,neutral,0.15694444444444444
What a come back by @ManUtd three points in the bag #mufc,neutral,0.0
"People really shouldn’t comment until after the final whistle! 🙈😂 quality comeback by the lads, shows the fight is… ",neutral,0.1
"#Mourinho throwing McTominay to the Wolves now , you decided to start him a 3 man midfield (2 of them defensive) an… ",neutral,0.0
@btsportfootball @DesKellyBTS Still think #Mourinho needs to go #mufc,neutral,0.0
#MUFC ...... which one is the comedian? ? ,neutral,0.0
"45 mins of man utd football, game is over, just like that. Imagine what we can do in 90 mins week in week out. Well… ",negative,-0.4
@Boggerz23 Has he upset you? Chill enjoy your downtime #mufc #JoseMustStay #josein,positive,0.4
It was really good to see our new manager come out at half time and lead the boys to a 3-2 comeback #mufc,positive,0.22323232323232323
The fans love Anthony Martial. #mufc,positive,0.25
Get a grest in peace all you celebrating #MUFC fans and explayers. You were very lucky to beat a poor #NUFC who can’t defend.… ,neutral,0.016666666666666663
"This is Dave. Dave left early this evening from the #MUFC game. Dave missed @ManUtd come back to win 3-2.

Don’t be… ",neutral,0.1
"Paul Pogba vs. Newcastle:

111 touches
90% pass accuracy
87 passes
6 shots
4 clearances
3 shots on target
3 aerial… ",neutral,0.0
"Absolutely delighted for Jose and, especially Alexis with that today. It just goes to show what happens when the pl… ",positive,0.35
French Connection ❤️ @AnthonyMartial @paulpogba #MUFC ,neutral,0.0
"Don't be like Dave. 
#MUNNEW #MUFC ",neutral,0.0
I think #mufc win was as much about #nufc retreating in the second half as it was about united being better. Pogba… ,positive,0.2666666666666667
"Happy for all United fans.
😊❤ #MUFC ",positive,0.8
"This from Guardian reader: #Mourinho's ""post-match interview was a festival of narcissism, even for him: 'taking th… ",neutral,0.0
"@SkySportsStatto @ManUtd I think @ManUtd just unlocked the working formation:
Mata is not a winger, he should play… ",neutral,0.0
Didn’t see that comeback coming! Last 20 was brilliant and the atmosphere was decent even at 0-2. Bloke sat next to… ,positive,0.26666666666666666
#MUFC impressive,positive,1.0
"Yes #nufc should of had a pen but so should #mufc, a lot of nufc fans conveniently ignoring ours, the Newcastle pla… ",neutral,0.0
@rioferdy5 bitter or what !!#mufc,neutral,-0.15625
"@jonmikesav8 Reality is we won .
We showed huge desire and hunger to preform.
Most pleasure I got was the stadium s… ",positive,0.45000000000000007
@JesseLingard Come back soon! We need you back on that pitch!! #MUFC #JLingz,neutral,0.0
"""It is not about me, not about the players, it's the mentality, it's the desire. This is about the club and in the… ",neutral,0.0
"After a roller coaster of win at #OldTrafford 😶😥🤯⚽️ 
#MUFC #MUNNEW ",positive,0.8
Like all of us need to be on one side. Woodward is idiot. If he does not trust in Jose to choose his players than f… ,negative,-0.8
"Jose ""I now travel to London, if it rains tomorrow it'll be my fault."" 😂 👏🏻👏🏻👏🏻 🔴 #MUFC",neutral,0.0
"The subs Jose did really showed that we need experience at certain times rather than skills

#MourinhoIn 
#MUFC 
@ManUtd",positive,0.20714285714285713
"Can I just say, the majority of our fans today showed the world what it’s like to be part of Manchester United. Oth… ",neutral,0.0
Well I definitely didn’t see that result coming at half time! 🙈 Juan was my MOTM don’t care what anyone else thinks… ,neutral,-0.10416666666666666
Im so glad @Alexis_Sanchez scored the guy runs and runs. And i am hoping this kick starts his season. #mufc,positive,0.5
Fantastic game of football at Old Trafford this evening. I went from crying tears of pain during the first half to… ,neutral,-0.002777777777777777
"After watching Dreamgirls on the west end this afternoon and then seeing United come back from 2-0 to win, I was ha… ",positive,0.4
"#MourinhoOUT or #MourinhoIn ?
I’m always Jose or any manager in. I will always support the manager of Manchester Un… ",neutral,0.0
Calm after the storm ⚡️ #MUFC ,positive,0.30000000000000004
"3). Sanchez should be tried as striker. He has that clever movement in the box like Hernandez.
4).Rojo (whenever fi… ",neutral,0.16666666666666666
"Idiots with the blue tick like these. Had we lost the game, the L would be on Jose and him alone. The win belongs t… ",neutral,-0.10000000000000003
He looked broken at half time but emerged looking stronger than he has done for months #mufc ,negative,-0.2833333333333333
"@ManUtd ""Paper over the Cracks"" #NEWMUN #MUFC",neutral,0.0
"Please please please! 🙏🏻
No job too big for Big Sam!
🍷 
#bbcmotd #mufc #BigSam #PintofWine ",neutral,0.0
Why can not we start a game as we finished as we did today were at home and i dont care what people think but as the h… ,negative,-0.4
"#MUFC 
Congratulations to @Alexis_Sanchez 
Although my I loosed my bet
Am happy that my favourite player ever score… ",positive,0.8
"#Premierleague #LFC #MUFC #MCFC #AFC #THFC #CFC 
Top ten biggest English clubs of all time (on my opinion)
1. Liver… ",neutral,0.16666666666666666
"With 73% possession 😲, I don't remember when we had such domination in the game #MUFC #MUNNEW #United",neutral,-0.2
"'If it rains in London it's my fault' 👀
Jose Mourinho hits back as Manchester United clinch dramatic win #MUFC… ",neutral,0.12222222222222225
#MUFC registered their 7th premier league win from being 2-0 or more down. 4 more recoveries than any other team from that position. #ggmu,positive,0.3038888888888889
"It inspired the team to victory #mufc 
",neutral,0.0
 #mufc need to be looking at this kid #lozano,neutral,0.0
#MUFC should start every game 2 goals down to see a bit of attacking intent and probably better results,neutral,-0.018518518518518528
That's the news I was anxiously waiting for. José go nowhere. He stays. #MUFC ,negative,-0.25
"I don't care if it's only Newcastle, I don't care if it's only papering over the cracks, it's just great to see us… ",positive,0.26666666666666666
Who would like to see this man gone from our club such passionate about this club great to have you Jose! #mufc ,positive,0.31666666666666665
"So put him on when there's a minute left and he'll win us the game?
Done.
#mufc ",neutral,0.13333333333333333
"The best thing about @ManUtd fans is that, they will always sign jose mourinhos name even if the team is losing two… ",positive,1.0
"Let's hear from the scorer of our first goal v Newcastle, JuanMata8...

#MUFC #MUNNEW ",positive,0.25
"@Alexis_Sanchez @juanmata8 Absolutely awesome today! My favourite players, should always be on the pitch!! So much… ",positive,1.0
"This is our true colour and this who we are, well done Pogba and co @UnitedStandMUFC @ManUtd_Es
#MANNEW #mufc… ",positive,0.35
"I was actually hoping #United lost so we could finally sack Jose.

Instead with have to deal with this mess for at least another week. #MUFC",neutral,-0.11875
"What a night. Win, lose or draw you stick by your team. You stick by your manager. Most of all, you stick together.… ",positive,0.65
"I'm such a mixture of emotions with @ManUtd at the moment, absolutely terrible at times and then flashes of brillia… ",negative,-0.5
@StanCollymore The second half should be further proof of why #mufc should ditch Mourinho’s services as the players… ,neutral,-0.05555555555555555
"Don’t give a shit this was a great second half, playing like we’ve nothing to lose! Proper United way that! #MUFC",neutral,0.07833333333333335
"Even those who dont normally,
 did in the North Stand #justliketheolddays #mufc ",neutral,0.15
"Pogba vs Newcastle:
3 shots on target
89% passing accuracy
87 passes completed
3 aerial duels won
111 touches 
2 dr… ",positive,0.5
@caroline4real To #MUFC players.,neutral,0.0
#MUFC have no divine right to success. Just show some heart and the fans will never turn the other cheek. Keep the… ,neutral,0.15357142857142855
"Let's hear from the scorer of our first goal v Newcastle, JuanMata8...

#MUFC #MUNNEW ",positive,0.25
"Betfair £30 Enhanced Odds Offer Manchester United F.C
New Customers #MUFC

premier league #PL
Man Utd v Newcastle… ",neutral,0.13636363636363635
It's kinda ironic that Pogba and Martial (two guys who have at times been out of favour by the skipper and had both… ,neutral,0.1
"The Game | Put You On The Game

Dedicated to #MUFC ",negative,-0.4
"That's the @ManUtd I love!!
Finally some passion from our players.
Let's get a winning streak going now.
#JoseMourinho 
#MUNNEW 
#mufc",positive,0.4270833333333333
Mighty player @MUFC @OfficialFPL #MUFC @juanmata8 💪👍🤗💪👍 ,positive,0.4
"When you realise that you have: 

Chelsea (a)
Juventus Home &amp; Away (Champions League) 
Man City (a) 

All in the sp… ",neutral,0.0
@ManUtd @juanmata8 JUAN AND ONLY ❤ #MUFC #MUNNEW,neutral,0.0
@ManUtd @juanmata8 Mata’s blog on Monday should be interesting 😂 #mufc,positive,0.5
"”Fight for the club, not the manager.”

- Jose Mourinho.. #mufc ",neutral,0.0
"Similarly those comparing Pep buying Bravo, Ederson to Jose needing more CBs. Bravo cost 15m, and is now City's no2… ",positive,0.25
"Shout out to the fans at Old Trafford today, phenomenal support! great team spirit @manutd The reds keep marching on #Manutd #MUFC",positive,0.5083333333333333
Sanchez Saves Us l Manchester United 3 - 2 Newcastle Utd l Match Review #MUFC ,neutral,0.0
FIFA 19: Manchester United Career Mode - EP8 l Monaco Epic #FIFA19 #MUFC ,neutral,0.1
"Jose lives to fight another day, this international break has come at a good time, regroup, refocus and come back s… ",positive,0.2333333333333333
The perfect drink to finish off my day. #MUFC @TheMerchantHse ,positive,1.0
"Read every word of #MUFC manager Jose Mourinho's rant about being 'manhunted' here:
",neutral,0.0
"#mufc must play @juanmata8 more frequently, brings more creativity and was the key to the turnaround ⚽️🔥🔴⚪⚫",positive,0.275
"Our take on a dramatic comeback win is a must-read! #MUFC
@ManUtd",positive,0.2833333333333333
You see there was the real problem started this man who has nothing to do with football . Man who didn't support jo… ,neutral,0.2
Lukaku needs a break and also some pressure. Fellaini and Matic feature in our game or at United. Young made alot o… ,neutral,-0.15000000000000002
"TTN Match Report: 
Man Utd 3-2 Newcastle

'ARRRRRRRRRRRRRRRRRRRRRRRRRGGGGGGGGGGGHHHHHHHHHH'

YouTube:… ",neutral,0.0
What a game to experience at Old Trafford today 🙏 @ManUtd #MUFC #MUNNEW,neutral,-0.15000000000000002
"@LiamPaulCanning I think @ManUtd just unlocked the working formation:
Mata is not a winger, he should play Central… ",neutral,0.0
"Jose Mourinho!
Jose Mourinho! 🎶

Good to hear vocal backing at Old Trafford today.. 🔴 #MUFC",positive,0.39999999999999997
The second half showed the players giving their all. Give your 100% and I'm sure no fan would turn over you. #mufc #MUNNEW,neutral,0.11111111111111112
"How can you go from an abysmal first-half, in which you couldn't really complain if you went in at half-time 3 or 4… ",neutral,0.2
"Thoughts about the game:
Pogba immense second half
Mata changed the game
McTominay ISNT A DEFENDER
Martial and Sanc… ",neutral,-0.16111111111111112
Because they are not @ManUtd  #mufc ,neutral,0.0
"#ManchesterUnited matches against #NewcastleUnited have now yielded a total of 144 goals in #PremierLeague history,… ",neutral,0.0
"I keep hearing that Jose has lost the dressing room. This ain’t it, chief. #MUFC #InJoseITrust",neutral,0.0
Personally would love to see @GNev2 part of #MUFC hierarchy.,positive,0.25
"The problems of #MUFC aren't managerial but gross player incompetence.

#MUNNEW",neutral,0.0
"Jose Mourinho, loved the passion, loved the spirit!! 
Get in lads!! #MUFC #MourinhoIn",positive,0.85
"Let's hear from the scorer of our first goal v Newcastle, @JuanMata8...
#MUFC #MUNNEW  @ManUtd",positive,0.25
"@ManUtd I think @ManUtd just unlocked the working formation:
Mata is not a winger, he should play Central
Pogba pla… ",neutral,0.0
Absolutely love the way the team fought back. Martial looked dangerous down the left. Pogba dominating the midfield… ,neutral,-0.04259259259259259
Dave Saves 👊🔴 #MUNNEW #MUFC ,neutral,0.0
"So while playing Manager Career, I bought Kane for cash + Mata in #FIFA19 just before #MUNNEW match today. I have n… ",neutral,0.0
How Rival fans were analysing how pooor Manchester United is in the first half. #mufc #GGMU  #MUNNEW Jose Mourinho… ,neutral,0.04166666666666667
Jose: I can cope with 'manhunt' #mufc #ManUtd ,neutral,0.0
Matt Ritchie names the Manchester United star who turned Newcastle match on its head #mufc #ManUtd ,neutral,0.0
"The sooner we get united legends and/or other footballing personalities to handle the recruitment, the sooner this… ",neutral,-0.125
FERGIE TIME😭😭 hope this is a turning point for everyone at the club #mufc,neutral,0.0
"Twitter Trend
2018-10-07 03:00:02
1. #ศรีสะเกษ
2. #MUFC
3. #HappyLayDay
4. #เลือดข้นคนจาง
5. #KoreaFestivalBKK2018",neutral,0.0
The comeback of Man U against Newcastle in today's match has reminded me  the good old days of Sir Alex Ferguson as… ,positive,0.39999999999999997
The real United returns under Jose Mourinho #mufc ,neutral,0.2
"Only Giggs, Beckham and Rooney have scored more freekicks than Juan Mata for United in the PL. 
Massively underrated freekick taker.
#MUFC",neutral,0.16666666666666666
EPIC Comeback.. @ManUtd #MUFC ,neutral,0.1
@SkyKaveh Come on #MUFC celebrating like they had won the champions league when in reality they JUST managed to  be… ,neutral,0.0
"Not a fan of mata at all but today he contributed to turning the game round, Was positive on the ball and showed de… ",neutral,-0.12424242424242427
